Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
Drew Sample,TE,24,16,13,0,0,0,0,0,0,0,,0,53,40,349,8.73,1,1.0,1,1,,,39.0,78.9,82.9,58.9,,39,,2020,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Harrison Bryant,TE,22,15,9,0,0,0,0,0,0,0,,0,38,24,238,9.92,3,2.0,2,3,,,38.0,61.8,66.8,49.8,,40,,2020,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Will Dissly,TE,24,16,12,0,0,0,0,0,0,0,,0,29,24,251,10.46,2,0.0,0,2,,,37.0,61.1,64.1,49.1,,42,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Kyle Rudolph,TE,31,12,12,0,0,0,0,0,0,0,,0,37,28,334,11.93,1,1.0,1,1,,,37.0,65.4,69.4,51.4,,41,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Cole Kmet,TE,21,16,9,0,0,0,0,0,1,-3,-3.0,0,44,28,243,8.68,2,1.0,1,2,,,34.0,62.0,66.0,48.0,,43,,2020,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Donald Parham,TE,23,13,5,0,0,0,0,0,0,0,,0,20,10,159,15.9,3,0.0,0,3,,,34.0,43.9,46.9,38.9,,44,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
David Njoku,TE,24,13,5,0,0,0,0,0,0,0,,0,29,19,213,11.21,2,0.0,0,2,,,33.0,52.3,55.3,42.8,,45,,2020,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Adam Shaheen,TE,26,16,5,0,0,0,0,0,0,0,,0,22,12,150,12.5,3,0.0,0,3,,,33.0,45.0,48.0,39.0,,46,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Durham Smythe,TE,25,15,13,0,0,0,0,0,0,0,,0,29,26,208,8.0,2,0.0,0,2,,,33.0,58.8,61.8,45.8,,47,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Ross Dwelley,TE,25,16,9,0,0,0,0,0,0,0,,0,24,19,245,12.89,1,0.0,0,1,,,31.0,49.5,52.5,40.0,,48,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Tyler Kroft,TE,28,10,4,0,0,0,0,0,0,0,,0,16,12,119,9.92,3,0.0,0,3,,,30.0,41.9,44.9,35.9,,49,,2020,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Greg Olsen,TE,35,11,8,0,0,0,0,0,0,0,,0,37,24,239,9.96,1,0.0,0,1,,,30.0,53.9,56.9,41.9,,50,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Marcedes Lewis,TE,36,15,15,0,0,0,0,0,0,0,,0,17,10,107,10.7,3,0.0,0,3,,,29.0,38.7,41.7,33.7,,51,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pharaoh Brown,TE,26,13,9,0,0,0,0,0,0,0,,0,16,14,163,11.64,2,0.0,0,2,,,28.0,42.3,45.3,35.3,,52,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O.J. Howard,TE,26,4,1,0,0,0,0,0,0,0,,0,19,11,146,13.27,2,0.0,0,2,,,27.0,37.6,40.6,32.1,,53,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Foster Moreau,TE,23,16,2,0,0,0,0,0,0,0,,0,9,7,140,20.0,2,0.0,0,2,,,26.0,33.0,36.0,29.5,,55,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
James O'Shaughnessy,TE,28,15,13,0,0,0,0,0,0,0,,0,38,28,262,9.36,0,0.0,0,0,,,26.0,54.2,57.2,40.2,,54,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tyler Conklin,TE,25,16,2,0,0,0,0,0,0,0,,0,26,19,194,10.21,1,1.0,0,1,,,25.0,44.4,47.4,34.9,,56,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Jesse James,TE,26,16,7,0,0,0,0,0,0,0,,0,22,14,129,9.21,2,0.0,0,2,,,25.0,38.9,41.9,31.9,,57,,2020,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
