Rk,Player,Team,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,FirstTeamAllPro,SelectedToProBowl,Passing_Cmp_pass,Passing_Att_pass,Air Yards_IAY,Air Yards_IAY/PA,Air Yards_CAY,Air Yards_CAY/Cmp,Air Yards_CAY/PA,Air Yards_YAC,Air Yards_YAC/Cmp,Accuracy_Bats,Accuracy_ThAwy,Accuracy_Spikes,Accuracy_Drops,Accuracy_Drop%,Accuracy_BadTh,Accuracy_Bad%,Accuracy_OnTgt,Accuracy_OnTgt%,Pressure_PktTime,Pressure_Bltz,Pressure_Hrry,Pressure_Hits,Pressure_Prss,Pressure_Prss%,Pressure_Scrm,Pressure_Yds/Scr,RPO_Plays,RPO_Yds,RPO_PassAtt,RPO_PassYds,RPO_RushAtt,RPO_RushYds,PlayAction_PassAtt,PlayAction_PassYds,Rushing_Att_rush,Rushing_Yds_rush,Rushing_1D,Rushing_YBC,Rushing_YBC/Att,Rushing_YAC,Rushing_YAC/Att,Rushing_BrkTkl,Rushing_Att/Br,Receiving_Tgt_rec,Receiving_Rec_rec,Receiving_Yds_rec,Receiving_1D,Receiving_YBC,Receiving_YBC/R,Receiving_YAC,Receiving_YAC/R,Receiving_ADOT,Receiving_BrkTkl,Receiving_Rec/Br,Receiving_Drop,Receiving_Drop%,Receiving_Int,Receiving_Rat,Awards,Year
227,AJ Barner,SEA,TE,22,17,6,0,0,0,0,0,0,0,,0,38,30,245,8.17,4,0,0,4,,,49.0,78.5,81.5,63.5,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,30.0,245.0,18.0,81.0,2.7,164.0,5.5,3.6,1.0,30.0,3.0,7.9,1.0,117.7,,2024
231,T.J. Hockenson,MIN,TE,27,10,9,0,0,0,0,0,0,0,,0,62,41,455,11.1,0,0,0,0,,,46.0,86.5,89.5,66.0,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,41.0,455.0,30.0,310.0,7.6,145.0,3.5,8.4,1.0,41.0,2.0,3.2,2.0,74.3,AP CPoY-19,2024
234,Jake Ferguson,DAL,TE,25,14,14,0,0,0,0,0,0,0,,0,86,59,494,8.37,0,4,2,0,,,45.0,104.4,109.4,74.9,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,59.0,494.0,18.0,185.0,3.1,309.0,5.2,4.1,6.0,9.8,3.0,3.5,0.0,83.2,,2024
240,Josh Oliver,MIN,TE,27,15,12,0,0,0,0,0,0,0,,0,28,22,258,11.73,3,0,0,3,,,44.0,65.8,68.8,54.8,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,22.0,258.0,14.0,129.0,5.9,129.0,5.9,7.8,0.0,,2.0,7.1,0.0,140.8,,2024
242,Evan Engram,JAX,TE,30,9,9,0,0,0,0,0,0,0,,0,64,47,365,7.77,1,1,1,1,1.0,,43.0,89.5,93.5,66.0,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,47.0,365.0,17.0,215.0,4.6,150.0,3.2,5.4,0.0,,4.0,6.3,0.0,92.3,,2024
249,Ja'Tavion Sanders,CAR,TE,21,16,8,0,0,0,0,0,0,0,,0,43,33,342,10.36,1,1,0,1,,,40.0,73.2,76.2,56.7,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,33.0,342.0,13.0,152.0,4.6,190.0,5.8,6.2,1.0,33.0,2.0,4.7,0.0,106.9,,2024
253,Theo Johnson,NYG,TE,23,12,11,0,0,0,0,0,0,0,,0,43,29,331,11.41,1,0,0,1,,,39.0,68.1,71.1,53.6,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,29.0,331.0,16.0,182.0,6.3,149.0,5.1,6.7,1.0,29.0,5.0,11.6,1.0,88.4,,2024
260,Dawson Knox,BUF,TE,28,16,13,0,0,0,0,0,0,0,,0,33,22,311,14.14,1,0,0,1,,,37.0,59.1,62.1,48.1,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,22.0,311.0,12.0,217.0,9.9,94.0,4.3,8.8,0.0,,1.0,3.0,1.0,94.4,,2024
262,Grant Calcaterra,PHI,TE,26,17,13,0,0,0,0,0,0,0,,0,30,24,298,12.42,1,0,0,1,,,36.0,59.8,62.8,47.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,24.0,298.0,15.0,172.0,7.2,126.0,5.3,7.3,0.0,,0.0,0.0,0.0,119.2,,2024
266,Colby Parkinson,LAR,TE,25,17,9,0,0,0,0,0,0,0,,0,49,30,294,9.8,1,0,0,1,,,35.0,65.4,68.4,50.4,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,30.0,294.0,15.0,134.0,4.5,160.0,5.3,5.3,1.0,30.0,2.0,4.1,0.0,84.9,,2024
