Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_3TM,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
Tanner McKee,QB,24,2,1,30.0,45.0,323.0,4.0,0.0,5.0,-1.0,-0.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,29.0,28.8,31.8,28.8,,49,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Kenny Pickett,QB,26,5,1,25.0,42.0,291.0,2.0,1.0,9.0,15.0,1.67,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,1,,,25.0,25.1,26.1,26.1,,50,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Desmond Ridder,QB,25,6,1,52.0,85.0,458.0,2.0,2.0,9.0,36.0,4.0,0.0,0.0,0.0,0.0,,0.0,3.0,2.0,0,,,22.0,21.9,28.9,23.9,,51,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Jimmy Garoppolo,QB,33,1,1,27.0,41.0,334.0,2.0,1.0,2.0,5.0,2.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,20.0,19.9,23.9,20.9,,53,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tyrod Taylor,QB,35,2,0,17.0,22.0,119.0,3.0,0.0,3.0,13.0,4.33,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0,,1.0,20.0,20.1,20.1,20.1,,52,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Joe Milton,QB,24,1,0,22.0,29.0,241.0,1.0,0.0,10.0,16.0,1.6,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1,,,19.0,19.2,20.2,19.2,,54,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Dorian Thompson-Robinson,QB,25,7,2,61.0,118.0,440.0,0.0,6.0,21.0,122.0,5.81,0.0,0.0,0.0,0.0,,0.0,3.0,1.0,0,,,16.0,15.8,28.8,21.8,,55,,2024,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mitchell Trubisky,QB,30,9,0,19.0,26.0,179.0,2.0,0.0,17.0,1.0,0.06,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0,,,15.0,15.3,15.3,15.3,,56,,2024,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tim Boyle,QB,30,3,0,27.0,50.0,276.0,1.0,1.0,3.0,9.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,14.0,13.9,14.9,14.9,,57,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tommy DeVito,QB,26,3,2,31.0,44.0,257.0,0.0,0.0,8.0,32.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,13.0,13.5,13.5,13.5,,58,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Jake Haener,QB,25,8,1,18.0,39.0,226.0,1.0,1.0,11.0,22.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,13.0,13.2,14.2,14.2,,59,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Trey Lance,QB,24,4,1,25.0,41.0,266.0,0.0,1.0,11.0,41.0,3.73,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,13.0,12.7,13.7,13.7,,60,,2024,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Davis Mills,QB,26,4,0,20.0,36.0,212.0,0.0,0.0,3.0,11.0,3.67,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,10.0,9.6,9.6,9.6,,61,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Skylar Thompson,QB,27,3,1,21.0,33.0,187.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0,,,8.0,7.9,7.9,7.9,,62,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Bailey Zappe,QB,25,1,1,16.0,31.0,170.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,7.0,7.0,9.0,9.0,,63,,2024,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Brandon Allen,QB,32,3,1,17.0,30.0,199.0,1.0,2.0,3.0,4.0,1.33,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,0,,,6.0,6.4,9.4,8.4,,64,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
