,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,Link,Coll_games,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating
87,86,TEN,Malik Willis,QB,23,2024,0,0,0,4,1,18,75,120,900,3,3,52,282,2,0,0,0,1,,,Liberty,http://www.sports-reference.com/cfb/players/malik-willis-1.html,38.0,1.0,13.0,13.0,0.0,0.3,366.0,2131.0,5.8,29.0,56.1,367.0,2144.0,5.8,29.0,388.0,618.0,62.8,5191.0,48.0,7.8,18.0,2.9,8.4,8.64,13.4,136.6,153.1
89,88,DAL,Jalen Tolbert,WR,23,2024,0,0,1,7,7,42,0,0,0,0,0,0,0,0,73,890,9,4,,,South Alabama,http://www.sports-reference.com/cfb/players/jalen-tolbert-1.html,47.0,178.0,3140.0,17.6,22.0,66.8,0.0,0.0,,0.0,0.0,178.0,3140.0,17.6,22.0,,,,,,,,,,,,,
92,91,TAM,Rachaad White,RB,23,2024,0,0,2,21,21,50,0,0,0,0,0,545,2084,10,165,1232,11,4,,,Arizona St.,http://www.sports-reference.com/cfb/players/rachaad-white-1.html,15.0,51.0,607.0,11.9,2.0,40.5,224.0,1426.0,6.4,20.0,95.1,275.0,2033.0,7.4,22.0,,,,,,,,,,,,,
94,93,SFO,Tyrion Davis-Price,RB,21,2024,0,0,0,1,1,8,0,0,0,0,0,43,127,0,0,0,0,,,,LSU,http://www.sports-reference.com/cfb/players/tyrion-davis-price-1.html,35.0,28.0,185.0,6.6,0.0,5.3,379.0,1744.0,4.6,15.0,49.8,407.0,1929.0,4.7,15.0,,,,,,,,,,,,,
95,94,CAR,Matt Corral,QB,23,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,http://www.sports-reference.com/cfb/players/matt-corral-1.html,37.0,1.0,19.0,19.0,0.0,0.5,334.0,1338.0,4.0,18.0,36.2,335.0,1357.0,4.1,18.0,614.0,912.0,67.3,8287.0,57.0,6.3,23.0,2.5,9.1,9.2,13.5,224.0,159.2
99,98,WAS,Brian Robinson Jr.,RB,23,2024,0,0,3,16,16,41,0,0,0,0,0,570,2329,15,65,587,5,1,,,Alabama,http://www.sports-reference.com/cfb/players/brian-robinson-jr-1.html,66.0,52.0,446.0,8.6,2.0,6.8,545.0,2704.0,5.0,29.0,41.0,597.0,3150.0,5.3,31.0,,,,,,,,,,,,,
100,99,CLE,David Bell,WR,21,2024,0,0,0,3,3,32,0,0,0,0,0,0,0,0,41,408,3,1,,,Purdue,http://www.sports-reference.com/cfb/players/david-bell-6.html,29.0,232.0,2946.0,12.7,21.0,101.6,6.0,51.0,8.5,1.0,1.8,238.0,2997.0,12.6,22.0,,,,,,,,,,,,,
102,101,NYJ,Jeremy Ruckert,TE,22,2024,0,0,1,2,2,41,0,0,0,0,0,0,0,0,35,264,0,3,,,Ohio St.,http://www.sports-reference.com/cfb/players/jeremy-ruckert-1.html,44.0,54.0,615.0,11.4,12.0,14.0,0.0,0.0,,0.0,0.0,54.0,615.0,11.4,12.0,,,,,,,,,,,,,
106,105,SFO,Danny Gray,WR,23,2022,0,0,0,0,0,13,0,0,0,0,0,1,9,0,1,10,0,,,,SMU,http://www.sports-reference.com/cfb/players/danny-gray-1.html,18.0,82.0,1251.0,15.3,13.0,69.5,6.0,70.0,11.7,2.0,3.9,88.0,1321.0,15.0,15.0,,,,,,,,,,,,,
107,106,TAM,Cade Otton,TE,23,2024,0,0,3,13,13,47,0,0,0,0,0,1,-4,0,148,1446,10,5,,,Washington,http://www.sports-reference.com/cfb/players/cade-otton-1.html,39.0,91.0,1026.0,11.3,9.0,26.3,0.0,0.0,,0.0,0.0,91.0,1026.0,11.3,9.0,,,,,,,,,,,,,
