Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
C.J. Board,WR,27,14,4,0,0,0,0,0,1,3,3.0,0,16,11,101,9.18,0,0.0,0,0,,,10.0,21.4,24.4,15.9,,168,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Brandon Zylstra,WR,27,16,2,0,0,0,0,0,1,1,1.0,0,4,3,35,11.67,0,0.0,0,1,,,10.0,12.6,12.6,11.1,,169,,2020,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Parris Campbell,WR,23,2,2,0,0,0,0,0,2,16,8.0,0,9,6,71,11.83,0,0.0,0,0,,,9.0,14.7,14.7,11.7,,173,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Austin Carr,WR,27,6,0,0,0,0,0,0,0,0,,0,4,3,27,9.0,1,0.0,0,1,,,9.0,11.7,11.7,10.2,,174,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Austin Mack,WR,23,11,1,0,0,0,0,0,0,0,,0,11,7,91,13.0,0,0.0,0,0,,,9.0,16.1,16.1,12.6,,171,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Joe Reed,WR,22,11,0,0,0,0,0,0,5,29,5.8,1,1,0,0,,0,0.0,0,1,,,9.0,8.9,8.9,8.9,,172,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Trent Taylor,WR,26,12,1,0,0,0,0,0,0,0,,0,21,10,86,8.6,0,0.0,0,0,,,9.0,18.6,18.6,13.6,,175,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Justin Watson,WR,24,11,2,0,0,0,0,0,0,0,,0,11,7,94,13.43,0,0.0,0,0,,,9.0,16.4,16.4,12.9,,170,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Jake Kumerow,WR,28,6,0,0,0,0,0,0,0,0,,0,1,1,22,22.0,1,0.0,0,1,,,8.0,9.2,9.2,8.7,,176,,2020,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pharoh Cooper,WR,25,16,1,0,0,0,0,0,0,0,,0,8,5,73,14.6,0,1.0,0,0,,,7.0,12.3,12.3,9.8,,177,,2020,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
