Rk,Player,Tm,FantPos,Age,Games_G,Games_GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Fumbles_Fmb,Fumbles_FL,Scoring_TD,Scoring_2PM,Scoring_2PP,Fantasy_FantPt,Fantasy_PPR,Fantasy_DKPt,Fantasy_FDPt,Fantasy_VBD,Fantasy_PosRank,Fantasy_OvRank,FirstTeamAllPro,SelectedToProBowl,Passing_Cmp_pass,Passing_Att_pass,Air Yards_IAY,Air Yards_IAY/PA,Air Yards_CAY,Air Yards_CAY/Cmp,Air Yards_CAY/PA,Air Yards_YAC,Air Yards_YAC/Cmp,Accuracy_Bats,Accuracy_ThAwy,Accuracy_Spikes,Accuracy_Drops,Accuracy_Drop%,Accuracy_BadTh,Accuracy_Bad%,Accuracy_OnTgt,Accuracy_OnTgt%,Pressure_PktTime,Pressure_Bltz,Pressure_Hrry,Pressure_Hits,Pressure_Prss,Pressure_Prss%,Pressure_Scrm,Pressure_Yds/Scr,RPO_Plays,RPO_Yds,RPO_PassAtt,RPO_PassYds,RPO_RushAtt,RPO_RushYds,PlayAction_PassAtt,PlayAction_PassYds,Rushing_Att_rush,Rushing_Yds_rush,Rushing_1D,Rushing_YBC,Rushing_YBC/Att,Rushing_YAC,Rushing_YAC/Att,Rushing_BrkTkl,Rushing_Att/Br,Receiving_Tgt_rec,Receiving_Rec_rec,Receiving_Yds_rec,Receiving_1D,Receiving_YBC,Receiving_YBC/R,Receiving_YAC,Receiving_YAC/R,Receiving_ADOT,Receiving_BrkTkl,Receiving_Rec/Br,Receiving_Drop,Receiving_Drop%,Receiving_Int,Receiving_Rat,Awards,Year
11,James Cook,BUF,RB,25,16,16,0,0,0,0,0,207,1009,4.87,16,38,32,258,8.06,2,1,0,18,,,235,266.7,272.7,250.7,81,7,11,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.0,1009.0,48.0,530.0,2.6,479.0,2.3,14.0,14.8,38.0,32.0,258.0,14.0,-2.0,-0.1,260.0,8.1,0.9,0.0,,2.0,5.3,0.0,112.5,PB,2024
12,Justin Jefferson,MIN,WR,25,17,17,1,1,22,0,0,1,3,3.00,0,154,103,1533,14.88,10,1,0,10,,,214,317.5,320.5,266.0,80,2,12,1.0,1.0,1.0,1.0,-5.0,-5.0,-5.0,-5.0,-5.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,25.0,1.0,22.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,,154.0,103.0,1533.0,62.0,1046.0,10.2,487.0,4.7,10.9,5.0,20.6,5.0,3.2,5.0,107.4,"PB,AP-1,AP OPoY-7",2024
13,Baker Mayfield,TAM,QB,29,17,17,407,570,4500,41,16,60,378,6.30,3,0,0,0,,0,13,2,3,,1,366,365.8,389.8,381.8,79,4,13,,1.0,407.0,570.0,3966.0,7.0,2061.0,5.1,3.6,2439.0,6.0,14.0,7.0,1.0,27.0,4.8,63.0,11.2,442.0,78.6,2.2,175.0,49.0,20.0,109.0,16.7,44.0,8.7,49.0,432.0,45.0,424.0,2.0,8.0,117.0,1087.0,60.0,378.0,24.0,294.0,4.9,84.0,1.4,5.0,12.0,,,,,,,,,,,,,,,,,2024
14,Jonathan Taylor,IND,RB,25,14,13,0,0,0,0,0,303,1431,4.72,11,31,18,136,7.56,1,4,1,12,,,227,244.7,251.7,235.7,74,8,14,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.0,1431.0,71.0,859.0,2.8,572.0,1.9,15.0,20.2,31.0,18.0,136.0,7.0,-14.0,-0.8,150.0,8.3,-0.3,2.0,9.0,3.0,9.7,1.0,66.1,"PB,AP CPoY-19",2024
15,George Kittle,SFO,TE,31,15,15,0,0,0,0,0,0,0,,0,94,78,1106,14.18,8,0,0,8,,,159,236.6,239.6,197.6,70,1,15,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,78.0,1106.0,50.0,584.0,7.5,522.0,6.7,8.1,4.0,19.5,2.0,2.1,2.0,135.2,"PB,AP-2,AP OPoY-11",2024
16,Jayden Daniels,WAS,QB,24,17,17,331,480,3568,25,9,148,891,6.02,6,0,0,0,,0,5,0,6,1,2,356,355.8,370.8,364.8,69,5,16,,1.0,331.0,480.0,3526.0,7.3,1788.0,5.4,3.7,1780.0,5.4,12.0,15.0,2.0,20.0,4.3,67.0,14.5,362.0,78.2,2.4,153.0,36.0,28.0,111.0,18.5,73.0,8.1,112.0,805.0,79.0,605.0,27.0,200.0,86.0,709.0,148.0,891.0,55.0,653.0,4.4,238.0,1.6,9.0,16.4,,,,,,,,,,,,,,,,,2024
17,De'Von Achane,MIA,RB,23,17,16,0,0,0,0,0,203,907,4.47,6,87,78,592,7.59,6,1,0,12,,,222,299.9,305.9,260.9,69,9,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.0,907.0,37.0,486.0,2.4,421.0,2.1,7.0,29.0,87.0,78.0,592.0,30.0,-73.0,-0.9,665.0,8.5,-0.4,5.0,15.6,2.0,2.3,0.0,118.0,,2024
18,Amon-Ra St. Brown,DET,WR,25,17,17,1,1,7,1,0,2,6,3.00,0,141,115,1263,10.98,12,1,1,12,,,201,316.2,320.2,258.7,67,3,18,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.4,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,7.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,4.0,2.0,2.0,1.0,0.0,,141.0,115.0,1263.0,73.0,851.0,7.4,412.0,3.6,7.7,3.0,38.3,4.0,2.8,1.0,129.4,"PB,AP-1,AP OPoY-11",2024
19,Brian Thomas,JAX,WR,22,17,16,0,0,0,0,0,6,48,8.00,0,133,87,1282,14.74,10,0,0,10,2,,197,284.0,287.0,240.5,63,4,19,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,48.0,3.0,38.0,6.3,10.0,1.7,0.0,,133.0,87.0,1282.0,53.0,720.0,8.3,562.0,6.5,11.4,0.0,,7.0,5.3,5.0,106.2,"PB,AP ORoY-4",2024
20,Brock Bowers,LVR,TE,22,17,16,0,0,0,0,0,5,13,2.60,0,153,112,1194,10.66,5,0,0,5,,,151,262.7,265.7,206.7,63,2,20,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,13.0,2.0,-1.0,-0.2,14.0,2.8,1.0,5.0,153.0,112.0,1194.0,61.0,598.0,5.3,596.0,5.3,6.1,6.0,18.7,6.0,3.9,5.0,92.9,"PB,AP-1,AP ORoY-2",2024
