Unnamed: 0,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Link,Coll_games,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td
182,181,KAN,Cornell Powell,WR,23,2022.0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Clemson,http://www.sports-reference.com/cfb/players/cornell-powell-1.html,54.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,93.0,1211.0,13.0,10.0,22.4,93.0,1211.0,13.0,10.0
188,187,ATL,Frank Darby,WR,23,2023.0,0,0,0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,,,,Arizona St.,http://www.sports-reference.com/cfb/players/frank-darby-1.html,40.0,,,,,,,,,,,,,,1.0,21.0,21.0,1.0,0.5,67.0,1317.0,19.7,13.0,32.9,68.0,1338.0,19.7,14.0
204,203,BUF,Marquez Stevenson,WR,23,2021.0,0,0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Houston,http://www.sports-reference.com/cfb/players/marquez-stevenson-1.html,32.0,1.0,1.0,100.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,1.0,360.4,26.0,231.0,8.9,2.0,7.2,147.0,2269.0,15.4,22.0,70.9,173.0,2500.0,14.5,24.0
205,204,CAR,Shi Smith,WR,22,2022.0,0,0,0,4.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,0.0,28.0,400.0,2.0,4.0,,,South Carolina,http://www.sports-reference.com/cfb/players/shi-smith-1.html,43.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,9.0,14.0,1.6,0.0,0.3,174.0,2204.0,12.7,13.0,51.3,183.0,2218.0,12.1,13.0
206,205,TEN,Racey McMath,WR,22,2022.0,0,0,0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,48.0,0.0,2.0,,,LSU,http://www.sports-reference.com/cfb/players/racey-mcmath-1.html,34.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,33.0,522.0,15.8,4.0,15.4,33.0,522.0,15.8,4.0
210,209,JAX,Jalen Camp,WR,23,2022.0,0,0,0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,,,,Georgia Tech,http://www.sports-reference.com/cfb/players/jalen-camp-1.html,50.0,,,,,,,,,,,,,,1.0,3.0,3.0,0.0,0.1,48.0,808.0,16.8,5.0,16.2,49.0,811.0,16.6,5.0
220,219,DEN,Seth Williams,WR,21,2021.0,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,,,,Auburn,http://www.sports-reference.com/cfb/players/seth-williams-1.html,36.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,132.0,2124.0,16.1,17.0,59.0,132.0,2124.0,16.1,17.0
222,221,CHI,Dazz Newsome,WR,22,2021.0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,0.0,1.0,,,North Carolina,http://www.sports-reference.com/cfb/players/dazz-newsome-1.html,44.0,1.0,1.0,100.0,43.0,0.0,0.0,0.0,0.0,43.0,43.0,43.0,1.0,461.2,20.0,178.0,8.9,2.0,4.0,188.0,2435.0,13.0,18.0,55.3,208.0,2613.0,12.6,20.0
243,242,NWE,Tre Nixon,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Central Florida,http://www.sports-reference.com/cfb/players/tre-nixon-1.html,40.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,109.0,1671.0,15.3,13.0,41.8,109.0,1671.0,15.3,13.0
250,249,LAR,Ben Skowronek,WR,24,2024.0,0,0,1,7.0,6.0,55.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,1.0,63.0,644.0,1.0,22.0,,,Notre Dame,http://www.sports-reference.com/cfb/players/ben-skowronek-1.html,54.0,,,,,,,,,,,,,,2.0,17.0,8.5,1.0,0.3,139.0,1856.0,13.4,13.0,34.4,141.0,1873.0,13.3,14.0
256,255,NOR,Kawaan Baker,WR,23,2021.0,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,South Alabama,http://www.sports-reference.com/cfb/players/kawaan-baker-1.html,45.0,,,,,,,,,,,,,,92.0,376.0,4.1,11.0,8.4,126.0,1829.0,14.5,16.0,40.6,218.0,2205.0,10.1,27.0
259,258,WAS,Dax Milne,WR,22,2022.0,0,0,0,1.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,15.0,120.0,1.0,,,,BYU,http://www.sports-reference.com/cfb/players/dax-milne-1.html,35.0,,,,,,,,,,,,,,24.0,106.0,4.4,0.0,3.0,101.0,1542.0,15.3,11.0,44.1,125.0,1648.0,13.2,11.0
