Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
T.J. Yeldon,RB,27,3,0,0,0,0,0,0,10,70,7.0,0,4,1,22,22.0,1,1.0,0,1,,,15.0,16.2,16.2,15.7,,106,,2020,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Darrynton Evans,RB,22,5,0,0,0,0,0,0,14,54,3.86,0,4,2,27,13.5,1,0.0,0,1,,,14.0,16.1,16.1,15.1,,109,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Mike Boone,RB,25,16,0,0,0,0,0,0,11,59,5.36,1,2,2,10,5.0,0,0.0,0,1,,,13.0,14.9,14.9,13.9,,111,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
LeSean McCoy,RB,32,10,0,0,0,0,0,0,10,31,3.1,0,19,15,101,6.73,0,0.0,0,0,,,13.0,28.2,31.2,20.7,,110,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Ryan Nall,RB,25,16,0,0,0,0,0,0,3,0,0.0,0,9,8,67,8.38,1,0.0,0,1,,,13.0,20.7,20.7,16.7,,112,,2020,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tarik Cohen,RB,25,3,0,0,0,0,0,0,14,74,5.29,0,9,6,41,6.83,0,0.0,0,0,,,12.0,17.5,17.5,14.5,,116,,2020,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Patrick Laird,RB,25,16,0,0,0,0,0,0,13,72,5.54,0,12,10,68,6.8,0,1.0,1,0,,,12.0,22.0,23.0,17.0,,114,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Troymaine Pope,RB,27,6,0,0,0,0,0,0,15,76,5.07,0,10,8,42,5.25,0,0.0,0,0,,,12.0,19.8,19.8,15.8,,115,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DeAndre Washington,RB,27,4,1,0,0,0,0,0,31,91,2.94,0,10,5,30,6.0,0,0.0,0,0,,,12.0,17.1,17.1,14.6,,113,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
J.J. Taylor,RB,22,6,0,0,0,0,0,0,23,110,4.78,0,2,1,4,4.0,0,0.0,0,0,,,11.0,12.4,15.4,11.9,,117,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
