Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_3TM,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
Stone Smartt,TE,26,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,19.0,16.0,208.0,13.0,0.0,1.0,1.0,0,,,19.0,34.8,38.8,26.8,,57,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cade Stover,TE,24,15,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,22.0,15.0,133.0,8.87,1.0,0.0,0.0,1,,,19.0,34.3,37.3,26.8,,56,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kylen Granson,TE,26,17,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,31.0,14.0,182.0,13.0,0.0,0.0,0.0,0,,,18.0,32.2,35.2,25.2,,59,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Andrew Ogletree,TE,26,17,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,14.0,9.0,109.0,12.11,1.0,0.0,0.0,1,,,17.0,25.9,28.9,21.4,,60,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Drew Sample,TE,28,17,15,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,-4.0,0.0,22.0,20.0,109.0,5.45,1.0,1.0,0.0,1,,,17.0,36.5,39.5,26.5,,61,,2024,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Erick All,TE,24,9,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,22.0,20.0,158.0,7.9,0.0,0.0,0.0,0,,,16.0,35.8,38.8,25.8,,62,,2024,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Michael Mayer,TE,23,11,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,32.0,21.0,156.0,7.43,0.0,0.0,0.0,0,,,16.0,36.6,39.6,26.1,,64,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Eric Saubert,TE,30,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,14.0,11.0,97.0,8.82,1.0,1.0,0.0,1,,,16.0,26.7,26.7,21.2,,63,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Lucas Krull,TE,26,13,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,23.0,19.0,152.0,8.0,0.0,0.0,0.0,0,,,15.0,34.2,37.2,24.7,,65,,2024,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Daniel Bellinger,TE,24,17,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,17.0,14.0,125.0,8.93,0.0,0.0,0.0,0,,,13.0,26.5,29.5,19.5,,66,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
