,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
459,Jack Stoll,PHI,TE,25,17,10,0,0,0,0,0,0,0,N/A,0,8,5,38,7.60,0,0,0,0,N/A,N/A,4,8.8,8.8,6.3,N/A,93,N/A,2023
460,Ke'Shawn Vaughn,TAM,RB,26,6,0,0,0,0,0,0,24,42,1.75,0,5,2,2,1.00,0,0,0,0,N/A,N/A,4,6.4,6.4,5.4,N/A,115,N/A,2023
461,Khari Blasingame,CHI,FB,27,16,2,0,0,0,0,0,8,26,3.25,0,6,3,2,0.67,0,0,0,0,N/A,N/A,3,5.8,5.8,4.3,N/A,122,N/A,2023
462,Keelan Doss,LAC,WR,27,5,0,0,0,0,0,0,0,0,N/A,0,13,6,33,5.50,0,0,0,0,N/A,N/A,3,9.3,9.3,6.3,N/A,183,N/A,2023
463,Greg Dulcich,DEN,TE,23,2,1,0,0,0,0,0,0,0,N/A,0,4,3,25,8.33,0,0,0,0,N/A,N/A,3,5.5,5.5,4.0,N/A,99,N/A,2023
464,Devin Duvernay,BAL,WR,26,13,1,0,0,0,0,0,4,15,3.75,0,9,4,18,4.50,0,0,0,0,N/A,N/A,3,7.3,7.3,5.3,N/A,184,N/A,2023
465,Derrick Gore,WAS,RB,29,6,0,0,0,0,0,0,3,26,8.67,0,0,0,0,N/A,0,0,0,0,N/A,N/A,3,2.6,2.6,2.6,N/A,123,N/A,2023
466,C.J. Ham*,MIN,FB,30,17,5,0,0,0,0,0,1,7,7.00,0,9,7,25,3.57,0,0,0,0,N/A,N/A,3,10.2,10.2,6.7,N/A,120,N/A,2023
467,Julian Hill,MIA,TE,23,15,4,0,0,0,0,0,0,0,N/A,0,9,6,48,8.00,0,1,1,0,N/A,N/A,3,8.8,9.8,5.8,N/A,96,N/A,2023
468,Trishton Jackson,MIN,WR,25,7,0,0,0,0,0,0,0,0,N/A,0,4,2,9,4.50,0,0,0,0,1,N/A,3,4.9,4.9,3.9,N/A,185,N/A,2023
469,James Mitchell,DET,TE,24,15,1,0,0,0,0,0,0,0,N/A,0,2,2,28,14.00,0,0,0,0,N/A,N/A,3,4.8,4.8,3.8,N/A,97,N/A,2023
470,Jalen Nailor,MIN,WR,24,6,1,0,0,0,0,0,0,0,N/A,0,6,3,29,9.67,0,0,0,0,N/A,N/A,3,5.9,5.9,4.4,N/A,186,N/A,2023
471,Teagan Quitoriano,HOU,TE,23,7,5,0,0,0,0,0,0,0,N/A,0,3,2,33,16.50,0,0,0,0,N/A,N/A,3,5.3,5.3,4.3,N/A,94,N/A,2023
472,Cooper Rush,DAL,QB,30,7,0,18,24,144,0,1,12,-5,-0.42,0,0,0,0,N/A,0,0,0,0,N/A,N/A,3,3.3,4.3,4.3,N/A,69,N/A,2023
473,Steven Sims,HOU,WR,26,3,0,0,0,0,0,0,1,1,1.00,0,3,3,25,8.33,0,0,0,0,N/A,N/A,3,5.6,5.6,4.1,N/A,187,N/A,2023
474,Keith Smith,ATL,FB,31,13,6,0,0,0,0,0,0,0,N/A,0,3,3,33,11.00,0,0,0,0,N/A,N/A,3,6.3,6.3,4.8,N/A,119,N/A,2023
475,Sean Tucker,TAM,RB,22,11,0,0,0,0,0,0,15,23,1.53,0,2,2,9,4.50,0,0,0,0,N/A,N/A,3,5.2,5.2,4.2,N/A,121,N/A,2023
476,Malik Willis,TEN,QB,24,3,0,4,5,74,0,0,5,21,4.20,0,0,0,0,N/A,0,1,1,0,N/A,N/A,3,3.1,4.1,3.1,N/A,70,N/A,2023
