,Player,Actual,Predicted,ActualRank,PredictedRank,RankError
85,Patrick Taylor,29.8,49.31771550232597,75,65,-10
69,Pierre Strong,35.2,48.61156643958904,71,66,-5
76,Dalvin Cook,4.0,47.108924351798976,100,67,-33
82,Ameer Abdullah,125.2,46.67290259850428,36,68,32
63,Joshua Kelley,0.2,46.354831602109975,107,69,-38
98,Gary Brightwell,0.0,44.501920983084254,108,70,-38
78,Ty Johnson,91.7,44.05644686738553,46,71,25
72,Michael Carter,35.8,42.602905407361895,70,72,2
113,Jordan Mims,26.1,41.01749673742631,83,73,-10
91,Emanuel Wilson,96.0,40.17313595608102,44,74,30
103,Tyrion Davis-Price,0.7,40.08512864240978,103,75,-28
1,Alec Ingold,26.3,38.20544081527383,82,76,-6
45,Kareem Hunt,155.4,37.77651561797662,29,77,48
66,Jamaal Williams,37.1,37.01732706016105,68,78,10
79,Tony Jones,11.5,35.472431073314155,93,79,-14
86,Trey Sermon,53.8,34.560203408064616,62,80,18
71,Chris Rodriguez,31.5,33.53394508050131,73,81,8
87,Ronnie Rivers,18.3,32.41358459605131,87,82,-5
80,Craig Reynolds,20.9,32.135931806406965,86,83,-3
95,Dare Ogunbowale,56.0,31.9906270759275,60,84,24
74,Cordarrelle Patterson,37.5,31.36010864358883,67,85,18
0,Kyle Juszczyk,57.6,29.626258350146323,57,86,29
90,Chris Brooks,42.2,28.73525541476487,66,87,21
67,Jordan Mason,115.0,28.222266550515776,38,88,50
89,Raheem Blackshear,8.0,27.727609311303517,96,89,-7
93,Keaontay Ingram,0.0,26.99312221224249,108,90,-18
100,Ke'Shawn Vaughn,0.4,25.539669734803915,105,91,-14
96,Deuce Vaughn,11.8,24.597454655044174,92,92,0
109,Jamycal Hasty,28.8,21.812369223350593,79,93,14
104,Evan Hull,0.0,21.07835488330136,108,94,-14
2,Patrick Ricard,17.2,20.384702988288005,89,95,6
83,Tank Bigsby,129.0,19.268321643908394,34,96,62
102,DeeJay Dallas,21.0,18.444614168573864,85,97,12
99,Eric Gray,17.3,15.415241666337366,88,98,10
6,Jakob Johnson,0.0,15.192796900563465,108,99,-9
8,Adam Prentice,0.0,14.868948783592842,108,100,-8
4,Khari Blasingame,0.0,13.50019590477585,108,101,-7
97,Trayveon Williams,0.0,12.742560224342427,108,102,-6
5,C.J. Ham,13.5,12.31048114308993,90,103,13
94,Hunter Luepke,26.9,11.456102558652844,81,104,23
106,Jonathan Ward,2.2,11.371767998448476,101,105,4
101,Sean Tucker,68.7,11.204312873517281,52,106,54
110,Travis Homer,6.4,11.009484996682986,98,107,9
105,Kene Nwangwu,6.0,10.884743803647368,99,108,9
112,Jeremy McNichols,63.8,9.008950880633435,54,109,55
108,Myles Gaskin,2.0,9.008950880633407,102,110,8
111,Kenny McIntosh,22.4,9.008950880633407,84,110,26
107,Julius Chestnut,13.3,9.008950880633407,91,110,19
7,Reggie Gilliam,0.7,8.635807788929768,103,113,10
3,Michael Burton,29.3,7.838017999067532,76,114,38
