,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,Link,Coll_year_id,Coll_pos,Coll_games,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating,Coll_awards,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td
93,92,TAM,Jalen McMillan,WR,22,2024,0,0,0,5,5,13,0,0,0,0,0,4,43,0,37,461,8,,,,Washington,http://www.sports-reference.com/cfb/players/jalen-mcmillan-1.html,Career,,38,1,3,33.3,9,0,0.0,0,0.0,3.0,3.00,9.0,0.2,58.5,,,,,,,,,,,,,,,
101,100,WAS,Luke McCaffrey,WR,23,2024,0,0,0,2,2,17,0,0,0,0,0,0,0,0,18,168,0,,,,Rice,http://www.sports-reference.com/cfb/players/luke-mccaffrey-1.html,Career,,44,88,152,57.9,921,5,3.3,10,6.6,6.1,3.76,10.5,20.9,106.5,,157,927,5.9,7,21.1,131,1732,13.2,19,39.4,288,2659,9.2,26
102,101,CAR,Ja'Tavion Sanders,TE,21,2024,0,0,0,3,3,16,0,0,0,0,0,0,0,0,33,342,1,,,,Texas,http://www.sports-reference.com/cfb/players/jatavion-sanders-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,102,DEN,Troy Franklin,WR,21,2024,0,0,0,2,2,16,0,0,0,0,0,2,8,0,28,263,2,,,,Oregon,http://www.sports-reference.com/cfb/players/troy-franklin-2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,107,NYG,Theo Johnson,TE,23,2024,0,0,1,2,2,12,0,0,0,0,0,0,0,0,29,331,1,,,,Penn St.,http://www.sports-reference.com/cfb/players/theo-johnson-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,110,NWE,Javon Baker,WR,22,2024,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,12,0,,,,Central Florida,http://www.sports-reference.com/cfb/players/javon-baker-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,113,BAL,Devontez Walker,WR,23,2024,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,21,1,2,,,North Carolina,http://www.sports-reference.com/cfb/players/devontez-walker-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,115,CIN,Erick All,TE,23,2024,0,0,1,1,1,9,0,0,0,0,0,0,0,0,20,158,0,,,,Iowa,http://www.sports-reference.com/cfb/players/erick-all-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,120,MIA,Jaylen Wright,RB,21,2024,0,0,0,2,2,15,0,0,0,0,0,68,249,0,3,8,0,,,,Tennessee,http://www.sports-reference.com/cfb/players/jaylen-wright-1.html,Career,,34,,,,,,,,,,,,,,,368,2297,6.2,18,67.6,30,171,5.7,0,5.0,398,2468,6.2,18
122,121,SEA,AJ Barner,TE,22,2024,0,0,0,2,2,17,0,0,0,0,0,0,0,0,30,245,4,2,,,Michigan,http://www.sports-reference.com/cfb/players/aj-barner-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
