Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_3TM,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
Ty Chandler,RB,25,17,4,0,0,0,0,0,102,461,4.52,3,25,21,159,7.57,0,0,0,3,,,80.0,101.0,107.0,90.5,,44,,2023,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
D'Onta Foreman,RB,27,9,8,0,0,0,0,0,109,425,3.9,4,16,11,77,7.0,1,1,0,5,,,80.0,91.2,94.2,85.7,,43,,2023,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Antonio Gibson,RB,25,16,2,0,0,0,0,0,65,265,4.08,1,59,48,389,8.1,2,4,2,3,,,79.0,127.4,135.4,103.4,,45,,2023,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Rico Dowdle,RB,25,16,0,0,0,0,0,0,89,361,4.06,2,22,17,144,8.47,2,0,0,4,,,75.0,91.5,97.5,83.0,,47,,2023,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jaleel McLaughlin,RB,23,17,3,0,0,0,0,0,76,410,5.39,1,36,31,160,5.16,2,0,0,3,,,75.0,106.0,112.0,90.5,,46,,2023,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Zach Charbonnet,RB,22,16,2,0,0,0,0,0,108,462,4.28,1,40,33,209,6.33,0,0,0,1,,,73.0,106.1,112.1,89.6,,48,,2023,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Samaje Perine,RB,28,17,1,0,0,0,0,0,53,238,4.49,1,56,50,455,9.1,0,3,2,1,,,71.0,121.3,129.3,96.3,,49,,2023,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dameon Pierce,RB,23,14,7,0,0,0,0,0,145,416,2.87,2,17,13,101,7.77,0,0,0,3,,,70.0,82.7,88.7,76.2,,50,,2023,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Roschon Johnson,RB,22,15,0,0,0,0,0,0,81,352,4.35,2,40,34,209,6.15,0,1,0,2,,,68.0,102.1,108.1,85.1,,51,,2023,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kenneth Gainwell,RB,24,16,2,1,1,17,0,0,84,364,4.33,2,37,30,183,6.1,0,3,1,2,1.0,,67.0,97.4,104.4,82.4,,52,,2023,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Latavius Murray,RB,33,16,4,0,0,0,0,0,79,300,3.8,4,22,17,119,7.0,0,1,0,4,,,66.0,82.9,88.9,74.4,,53,,2023,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Keaton Mitchell,RB,21,8,2,0,0,0,0,0,47,396,8.43,2,11,9,93,10.33,0,0,0,2,,,61.0,69.9,72.9,65.4,,54,,2023,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Miles Sanders,RB,26,16,5,0,0,0,0,0,129,432,3.35,1,41,27,154,5.7,0,2,2,1,,,61.0,87.6,95.6,74.1,,55,,2023,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jerick McKinnon,RB,31,12,0,1,1,4,1,0,21,60,2.86,1,32,25,192,7.68,4,0,0,5,,,59.0,84.4,87.4,71.9,,56,,2023,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Zamir White,RB,24,17,4,0,0,0,0,0,104,451,4.34,1,19,15,98,6.53,0,1,1,1,,,59.0,73.9,77.9,66.4,,57,,2023,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Joshua Kelley,RB,26,17,3,0,0,0,0,0,107,405,3.79,2,12,8,32,4.0,0,1,1,2,,,54.0,61.7,65.7,57.7,,58,,2023,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
