,Player,Projected_Pts,VBD
92,Jordan Addison,159.7918113601991,-9.601045896961836
93,Tyreek Hill,158.19392303628456,-11.198934220876367
94,D.J. Moore,158.10163396990805,-11.291223287252876
95,Adam Thielen,157.91372850871113,-11.479128748449796
96,Mike Gesicki,112.10110737675927,-11.846726588879307
97,Kareem Hunt,125.35983590526588,-14.217937898386324
98,Travis Etienne,124.90370124318576,-14.674072560466442
99,Javonte Williams,124.4166871402958,-15.1610866633564
100,Marvin Harrison Jr.,154.04061063635362,-15.352246620807307
101,Alexander Mattison,123.98622126569174,-15.591552537960467
102,Justice Hill,123.01838696684962,-16.559386836802588
103,Kyler Murray,184.62276208895656,-16.765311009896863
104,Jake Ferguson,106.37213471927014,-17.575699246368444
105,Chuba Hubbard,120.67491309874362,-18.90286070490859
106,Keenan Allen,148.77599222661036,-20.61686503055057
107,Zack Moss,118.83670661852976,-20.741067185122446
108,Rachaad White,118.33290789657563,-21.244865907076573
109,Russell Wilson,179.82818649321803,-21.5598866056354
110,Jordan Love,179.18721353416652,-22.20085956468691
111,Dalton Kincaid,101.51111817140644,-22.436715794232143
112,Michael Pittman Jr.,146.94570600961657,-22.447151247544355
113,Noah Fant,100.62432644232675,-23.323507523311832
114,Patrick Mahomes,177.9820748503486,-23.40599824850483
115,Khalil Shakir,144.970428991951,-24.42242826520993
116,Kyle Pitts,98.90680513092383,-25.04102883471475
117,Brian Robinson Jr.,113.8511194668022,-25.726654336850004
118,Isiah Pacheco,113.17407315078748,-26.40370065286473
119,Will Dissly,96.90772115451071,-27.04011281112787
120,Zach Charbonnet,112.43038158025615,-27.147392223396054
121,Tyler Higbee,96.58137878429093,-27.366455181347646
122,Alec Pierce,141.6519422688365,-27.74091498832442
123,James Cook,111.36155796401448,-28.216215839637727
124,Jerome Ford,111.31765860323246,-28.260115200419747
125,Clyde Edwards-Helaire,111.27309341386592,-28.304680389786284
126,Isaiah Likely,95.16688621818435,-28.780947747454235
127,Tua Tagovailoa,172.32787851430072,-29.060194584552704
128,Marquise Brown,140.1027173985458,-29.290139858615134
129,J.K. Dobbins,109.99456943342103,-29.583204370231172
130,Kyren Williams,109.88050450236928,-29.69726930128293
131,Tyler Conklin,94.23698455852261,-29.710849407115973
132,Juwan Johnson,94.2155955965658,-29.732238369072775
133,Derek Carr,171.47299736804734,-29.91507573080608
134,Christian Kirk,139.2121003572935,-30.18075689986742
135,Brock Bowers,92.94946164119425,-30.998372324444333
136,Antonio Gibson,108.06330003507527,-31.514473768576934
